ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
KAYVAH,208.4,1.5398,247.4,5995,14.7,[O-][N+](=O)c1cc(ccc1n1cccn1)[N+](=O)[O-]
KECTAN,-1024.6,1.6288,246.4,6551,18.2,COC(=O)[C@@H]([C@H](C(=O)OC)O)Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KEDWUO,-738.3,1.6876,1743441.2,5700,14.1,[O-][N+](=O)c1cc(C(=O)O)c(cc1C(=O)O)N
KEFJUD,-216.2,1.4456,300.2,4487,7.9,O=C(c1ccccc1)Nc1ccc(cc1C1=NCCO1)[N+](=O)[O-]
KEFLEM06,52.6,1.3714,299.8,4300,7,Nc1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
KEFTIY,-315.4,1.5081,123.8,6731,18.3,[O-][N+](=O)O[C@H]1[C@H]([N+](=O)[O-])C(=C[C@@H]([C@@]1(C)[N+](=O)[O-])[N+](=O)[O-])C(C)C
KEFYOK,-33.5,1.3795,313,5064,9.7,[O-][N+](=O)c1cccc(c1N)C
KEJGIP,-397,1.6016,227.7,6644,18.6,CCOC(=O)Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KEMREZ,-121.8,1.5337,284,5240,11.2,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccc(cc1)[N+](=O)[O-]
KEMTIF,112,1.7385,164.8,8053,28.7,[O-][N+](=O)N1CN(CC2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KENCEM,-205.4,1.3852,279.5,4564,7.9,CC(=O)NCCc1c[nH]c2c1c(ccc2)[N+](=O)[O-]
KENFUH,411.5,1.9542,146.3,9211,40.2,[O-][N+](=O)c1nc(n(n1)C([N+](=O)[O-])[N+](=O)[O-])c1nc(nn1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KEPDUF,175.5,1.4365,201.6,5239,10.7,[O-][N+](=O)/N=C/1\NCCN1Cc1noc(c1)c1ccccc1
KEPFAN,133.6,1.3604,202,4970,9.3,Cc1ccc(cc1)c1onc(c1)CN1CCN/C/1=N\[N+](=O)[O-]
KEPFER,22.3,1.4737,215,5367,11.5,COc1ccccc1c1onc(c1)CN1CCN/C/1=N\[N+](=O)[O-]
KEPVIK,147.6,1.547,241.9,4625,8.8,[O-][N+](=O)c1c(cc2c3c1c1ccccc1c3ccc2)[N+](=O)[O-]
KEQXOV,-165.2,1.2686,261.3,5531,10.9,CCN(C(=C([N+](=O)[O-])[N+](=O)[O-])N(CC)CC)CC
KETYEO,-445.2,0.8265,235.4,4039,4,O=c1cc(C)c2c(o1)cc(c(c2[N+](=O)[O-])O)[N+](=O)[O-]
KEZMEK,48.5,1.3681,296.5,4626,8.1,Cc1ncc(n1C)c1ccc(cc1)[N+](=O)[O-]
KIBGIO,-251.6,1.4028,290.5,5369,11.1,O=[N+]1C=C(C=C/C/1=[NH+]\C(=O)NC(C)(C)C)[N+](=O)[O-]
KIBGOU,-279.8,1.3256,298.1,4679,8.1,O=C(NC(C)(C)C)Nc1ccc(cn1)[N+](=O)[O-]
KIBMIU,358.6,1.7752,82.4,8463,32.1,[O-][N+](=O)C(/C(=N/c1nnnn1C)/N)([N+](=O)[O-])[N+](=O)[O-]
KIBSAS01,323.1,1.7379,255,7879,27.5,Nc1onc(n1)c1nonc1[N+](=O)[O-]
KIKKIZ,-164.4,1.3826,291.9,4437,7.5,O=C1N[C@H]([C@H]1Oc1ccccc1)c1ccc(cc1)[N+](=O)[O-]
KIKNEY,176.6,1.4822,353.1,6572,17.2,NNc1n(C)nc(c1[N+](=O)[O-])C
KIMQEF,209.4,1.4379,304,4539,8.1,[O-][N+](=O)c1ccc(nc1)Nc1cccc2c1nccc2
KIRCAP,-284.7,1.7963,105,7689,26.7,COC(=O)[C@H]1ON2O[C@H]1c1cc(cc(c1C2([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KIRHIC,-37.4,1.3399,288.6,3888,5.6,C#CCCCc1ncc(cn1)c1ccc(cc1)[N+](=O)[O-]
KIRHOI,625.6,1.3764,274.7,5282,10.6,N#CC(c1ncc(cn1)[N+](=O)[O-])(C#N)CCC#C
KIWLAG,-516.4,1.4858,295.8,5287,11.2,COC(=O)Nc1ccc(cc1[N+](=O)[O-])OC
KIZCUT,-312.9,1.7295,145,7895,27.5,[O-][N+](=O)NC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KOBQOH,-698.6,1.4709,275.6,5295,11.1,CC(C[C@H](C(=O)O)NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
KOBXOO,-38.8,1.8333,337.3,7741,27.4,[O-][N+](=O)c1c(N)[nH][nH]c1=O
KODHUG,-321.2,1.6009,277.8,6056,15.4,OC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
KODJAO,-307.3,1.637,259.1,6169,16.2,OC(=O)/C=C/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
KOFDUF,-383.2,1.5737,277.5,6072,15.3,OCCNC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
KOFKAR,22.3,1.5719,170.8,7386,22.7,[O-][N+](=O)N1CCCN(C1)[N+](=O)[O-]
KOFKEV,-7.5,1.5396,162.2,7115,20.7,[O-][N+](=O)N1CCCCN(C1)[N+](=O)[O-]
KOFKIZ,159.4,1.7088,170.3,8165,29.2,O=NN1CN(CCN(C1)[N+](=O)[O-])[N+](=O)[O-]
KOFKUM,92.8,1.4257,287.3,4826,9,[O-][N+](=O)c1ccc(cc1)/C=C\c1cccc(c1)[N+](=O)[O-]
KOHPAY,-390.3,1.3457,296.2,4271,6.8,O=C1CC(C)(C)CC(=O)C1=CNc1ccc(cc1)[N+](=O)[O-]
KOKCOC,-79.7,1.6046,226.1,5446,12.5,[O-][N+](=O)c1cc(cc(c1Oc1ccc2c3c1C(=O)C=Cc3ccc2)[N+](=O)[O-])[N+](=O)[O-]
KOLVIS,-260,1.5422,280.3,5596,12.8,NC(=O)NNC(=O)c1ccc(cc1)[N+](=O)[O-]
KOMHAV,77.1,1.6604,304.4,6997,21.1,[O-][N+](=O)c1c[nH]cn1
KOTSIV,-157.6,1.4544,313,5432,11.6,COc1cc(ccc1N)[N+](=O)[O-]
KOVGIL,-18.1,1.4122,261.9,6597,16.8,CN(C(=C([N+](=O)[O-])[N+](=O)[O-])N(C)C)C
KOVGUX,191.9,1.4032,246.4,5171,10.3,[O-][N+](=O)C(=C(Nc1ccccc1)Nc1ccccc1)[N+](=O)[O-]
KOVHAE,17.4,1.7021,291.6,7653,25.6,[O-][N+](=O)C(=C1NCCN1)[N+](=O)[O-]
KOVHIM,-34.1,1.5651,284.7,6823,19.3,[O-][N+](=O)C(=C1NCCCCN1)[N+](=O)[O-]
KOWRUJ,50.8,1.6075,104.4,6751,19.2,[O-][N+](=O)[C@@H]1C=C[C@@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KUBPAY,161.2,1.8129,103.7,8913,36.1,[O-][N+](=O)N1CCN=C1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KUBPIG,123.1,1.8006,101,8577,33.3,[O-][N+](=O)N1CCNC1=C([N+](=O)[O-])[N+](=O)[O-]
KUBPOM,128.5,1.7933,70.4,8341,31.4,[O-][N+](=O)N1CCCNC1=C([N+](=O)[O-])[N+](=O)[O-]
KUBPUS,40.4,1.5971,119.5,7400,23,[O-][N+](=O)N1CCCCNC1=C([N+](=O)[O-])[N+](=O)[O-]
KUFLUU01,-193.5,1.41,289.6,4598,8.2,COc1cccc(c1O)/C=N/c1cccc(c1)[N+](=O)[O-]
KUGSEM,219.1,1.3786,293.7,3919,5.8,[O-][N+](=O)c1cccc(c1)c1cc2c(n1c1ccccn1)cccc2
KUGYAM,-245.8,1.7018,151.7,7237,22.9,[O-][N+](=O)N1CN(CN([C@@H]2[C@H]1N(CN2C(=O)C)C(=O)C)[N+](=O)[O-])[N+](=O)[O-]
KUHCEW,137.7,1.3143,273.3,4169,6.4,Cc1ccc(cc1)/N=C/c1ccccc1[N+](=O)[O-]
KUHKAB,154.9,1.4345,354.8,4942,9.5,N#CC([C@@H]1C(=C(NC)Oc2c1cccc2)[N+](=O)[O-])C#N
KUHKEF,-404.8,1.3571,357.3,4608,8,CCOC(=O)[C@@H]([C@@H]1C(=C(NC)Oc2c1cccc2)[N+](=O)[O-])C#N
KUHVUE,-22.9,1.5059,274.3,5887,14,COC(=O)/C(=[N+]\1/N=[n+]2c(=C1C)cccc2)/C=C([N+](=O)[O-])[N+](=O)[O-]
KUNLAG,-195.6,1.2614,293.1,4017,5.7,O=C(Nc1cc(C)cc(n1)C)Cc1cccc(c1)[N+](=O)[O-]
KUPCIJ,-360,1.6992,137,8368,30.6,[O-][N+](=O)NC(=O)OCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KUTKOA,127.5,1.4015,207.7,5194,10.4,[O-][N+](=O)/N=C/1\NCN(CN1C)Cc1ccccc1
KUWGOZ,40.4,1.2796,288.4,4344,6.8,CC(n1nccc1c1ccc(cc1)[N+](=O)[O-])(C)C
KUZBAJ,-212.4,1.3662,297.9,4574,7.9,CCOC(=O)/C(=C/c1cc(ccc1N1CCCC1)[N+](=O)[O-])/C#N
KUZJUL,84.1,1.4138,288.9,5003,9.7,[O-][N+](=O)c1cccc(c1)/C=N/c1onc(c1C)C
KUZVUX02,-385.2,1.4146,308.8,5310,10.9,[O-][N+](=O)c1cn(c(n1)C)CC(=O)OCC
LABJON01,-236.2,1.6563,300.2,6209,16.6,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-]
LABLOP,110.9,1.4025,323.4,4950,9.4,Cn1cnc(c1NCc1ccccc1)[N+](=O)[O-]
LACLAC,-203,1.5828,257.5,6139,15.7,[O-][N+](=O)c1cc(C(=O)N)c(c(c1)[N+](=O)[O-])C
LAGGAE,-7.1,1.4338,301.3,4571,8.2,Oc1ccccc1/C=N/c1ccc(cc1)[N+](=O)[O-]
LAGVEU,-358.2,1.5983,99.3,6225,16.3,CC(=O)O[C@H]1N([N+](=O)[O-])c2ccccc2C(=O)N1[N+](=O)[O-]
LAGZUR,-446.1,1.4219,230.4,4575,8.1,O=C(C(C)C)NC1=C([N+](=O)[O-])C(=O)c2c(C1=O)cccc2
LAHCEC,-374,1.5486,310.2,5332,11.7,OC(=O)CNc1ccc(cc1)[N+](=O)[O-]
LAJFAF,-379.3,1.3764,304.6,4982,9.4,COCCNC(=O)Nc1ccc(cc1)[N+](=O)[O-]
LALQIZ,-200.6,1.3902,260.1,4987,9.5,CC(=O)C(=NNc1c(C)cccc1[N+](=O)[O-])C(=O)C
LANFIR,-331.6,1.4928,285.3,4870,9.5,Oc1ccc(c(c1)/C=N/NC(=O)c1cccc(c1O)C)[N+](=O)[O-]
LANHIR,138.4,1.317,298.8,3894,5.6,[O-][N+](=O)c1ccc(cc1)/C=C/c1cc2c(n1C)cccc2
LANLOC,-447.5,1.4373,277.6,5472,11.7,CC(OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
LANTIF,188.8,1.4068,289.6,5028,9.7,C/C(=N\N=C(\c1cccc(c1)[N+](=O)[O-])/C)/c1cccc(c1)[N+](=O)[O-]
LANWUU,46.5,1.4518,285.4,5173,10.5,O=C(c1ccc(cc1)[N+](=O)[O-])N/N=C/c1cccc(c1)[N+](=O)[O-]
LAPCUC,46.4,1.507,287.8,5301,11.3,O=C(c1cccc(c1)[N+](=O)[O-])N/N=C/c1cccc(c1)[N+](=O)[O-]
LAPVAC,243.7,1.6547,237.7,6894,20.4,COc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])n1cnnn1
LAPVEG,265.2,1.6225,239.1,6829,19.8,COc1c(cc(cc1[N+](=O)[O-])n1cnnn1)[N+](=O)[O-]
LAPVIK,365.5,1.7588,283.4,7244,23.4,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])n1cnnn1
LAPVOQ,325.5,1.5113,287.5,5857,13.9,Cc1ccc(cc1n1cnnn1)[N+](=O)[O-]
LAPVUW,456.8,1.7871,127.7,7856,27.8,[O-][N+](=O)Nc1c(cc(cc1[N+](=O)[O-])n1cnnn1)[N+](=O)[O-]
LAPWAD,765.4,1.667,243.9,7320,23.1,N#[N+]/N=C/1\C(=C/C(=[N+]/2\C=NN=N2)/C=C1[N+](=O)[O-])[N+](=O)[O-]
LAPWEH,364.6,1.5667,250.8,6522,17.6,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1n1cnnn1)C
LAPWIL,351.5,1.6324,249.6,6688,19,[O-][N+](=O)c1cc(cc(c1C)[N+](=O)[O-])n1cnnn1
LAPWOR,430.3,1.7952,216.3,7836,27.7,[O-][N+](=O)c1cc(cc(c1[N+](=O)[O-])[N+](=O)[O-])n1cnnn1
LAPWUX,268.1,1.6478,252.2,6905,20.4,COc1cc(n2cnnn2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
LAPYUY,-644,1.4478,300.1,4748,8.9,O=C(Nc1ccc(cc1[N+](=O)[O-])C)CCC(=O)O
LAQKIZ,-282.5,1.4365,222.7,5560,12.1,C[C@@H]([C@H](c1ccc(cc1)[N+](=O)[O-])O)[N+](=O)[O-]
LATWOS,123.7,1.6316,251.1,6047,15.6,O=C(c1c2nonc2c(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)c1ccccc1
LEBGEE,81.1,1.4555,298.8,5920,13.8,CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
LECVAQ,-161.2,1.6465,231,5855,14.7,[O-][N+](=O)c1cc(cc2c1N(N=C(O2)c1ccco1)C(=O)c1ccco1)[N+](=O)[O-]
LEDYOK,-678.6,1.4564,273.3,5082,10.2,COC(=O)CNC(=O)c1ccc(c(c1)[N+](=O)[O-])OC
LEFCEG,14.8,1.4292,269.3,5484,11.7,C/C(=C\c1ccccc1[N+](=O)[O-])/[N+](=O)[O-]
LEFHAH,-824,1.4506,241,5621,12.4,COc1c(C(=O)N[C@H](C(=O)OC)C)c(OC)c(cc1[N+](=O)[O-])[N+](=O)[O-]
LEFRAP,19.2,1.7247,160.6,8284,30.2,[O-][N+](=O)C1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
LEFRET,-416.1,1.628,158.2,7220,22.1,OC(=O)CCC1(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
LEFZED,-279.3,1.3643,300.8,4372,7.2,CC(=O)Nc1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-]
LEHNIW,-334.9,1.6785,284.2,6367,17.6,[O-][N+](=O)c1c[nH]c(=O)n(c1=O)C
LEJKOA,-103.7,1.6816,137.7,6789,20,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2C[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1C[C@H]([C@@H]42)C3([N+](=O)[O-])[N+](=O)[O-]
LEKHUE,-27,1.44,314.6,5777,13.1,[O-][N+](=O)c1nc([nH]c1C)C
LEKLOC,-88.7,1.3761,309.4,4323,7.1,O=Cc1ccccc1CCNc1ccccc1[N+](=O)[O-]
LEMSAA,-413.5,1.4195,303.5,4627,8.3,COc1c(OC)cccc1C(=O)Nc1ccc(cc1)[N+](=O)[O-]
LEQTAC,-181.5,1.5649,302,5405,12.1,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-]
LESLIG,-844.9,1.5091,289,4725,9,COC(=O)c1cc(NC(=O)c2ccc(cc2)[N+](=O)[O-])c(cc1O)O
LEVKEE,-184.9,1.3015,184.9,5032,9.2,CC([C@@H]([N+](=O)[O-])Cc1ccccc1)([N+](=O)[O-])C
LEVNUW,120.7,1.4006,309.1,4657,8.3,[O-][N+](=O)c1ccc(cc1)NCc1ccncc1
LEWGEA,-359.7,1.4529,281,4716,8.8,CCN1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-]
LEWJUS,-335.9,1.6338,216.1,5815,14.4,[O-][N+](=O)C[C@]1(O)C(=O)c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
LEXYUK,-836.8,1.4874,290.1,4692,8.8,CCOC(=O)c1oc2c(c1N1C(=O)CCC1=O)cc(cc2)[N+](=O)[O-]
LEZNUZ,37.3,1.4534,294.1,5441,11.7,O=C1ON=C(/C/1=N/Nc1ccc(cc1)[N+](=O)[O-])C
LEZPEL,199.8,1.4166,296.6,4783,8.9,CC1=NN(C(=O)/C/1=N\Nc1ccc(cc1)[N+](=O)[O-])c1ccccc1
LIBMUF,-328.7,1.4528,287.2,4790,9,COc1ccc(c(c1)O)/C(=N/NC(=O)c1ccc(cc1)[N+](=O)[O-])/C
LIBXEZ,234.4,1.4663,299.2,4640,8.5,[O-][N+](=O)c1ccc2c(c1)cn(n2)c1ccccc1
LIHWEF,-531.5,1.4765,291.4,4701,8.8,O=C1O[C@H]2CCC[C@@H]2C(=O)N1c1ccc(cc1)[N+](=O)[O-]
LIJKEV,167.6,1.5243,304.6,5425,12,[O-][N+](=O)c1cn(c(n1)C)c1cccnc1
LIJQEB,288.6,1.3751,295.9,4109,6.4,N#C/C(=C\c1c[nH]c2c1cccc2)/c1ccc(cc1)[N+](=O)[O-]
LILJUL,-132,1.5189,265.7,5196,11,[O-][N+](=O)c1cc(ccc1/C=C/c1ccc2c(c1)OCO2)[N+](=O)[O-]
LINHUL,-216.4,1.4482,242.8,5599,12.3,[O-][N+](=O)[C@]12C[C@H]3C[C@@]2(C[C@@H](C1)C3)[N+](=O)[O-]
LINJAT,-237.9,1.5831,222,6403,17.1,[O-][N+](=O)[C@@H]1[C@@H]2C[C@@]3(C[C@H]1C[C@@]3(C2)[N+](=O)[O-])[N+](=O)[O-]
LINVUZ,72.4,1.356,229.4,4887,9,COc1ccc(cc1)/C=C(/[N+](=O)[O-])\C#N
LIPRIO,113.5,1.4162,296.7,5053,9.9,Cc1ccc(cc1)/[NH+]=C/1\C=CC(=C[N+]1=O)[N+](=O)[O-]
LIPVEN,-1,1.3774,290.7,4052,6.2,[O-][N+](=O)c1cccc(c1)/C=C/c1ccc2c(n1)c(O)ccc2
LIQDEW,153.2,1.3937,304.7,4857,9,[O-][N+](=O)c1cnc(nc1)NCc1ccccc1
LIQKEC,202.9,1.4654,287.3,5499,12,O=C(c1n[nH]cn1)N/N=C/c1cccc(c1)[N+](=O)[O-]
LIVWET02,-54.6,1.3952,292.1,4845,9,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
LIXWAS,81.6,1.3624,311.3,4701,8.3,COc1ccc(cc1)/C=N/Nc1ccccc1[N+](=O)[O-]
LOBWIJ,-300,1.4492,289,5019,9.9,ON1C(=O)c2cc(ccc2CC1(C)C)[N+](=O)[O-]
LOFCEQ,262.8,1.4728,291.8,5193,10.7,[O-][N+](=O)c1ccc2c(c1)n(nc2)CCn1ncc2c1cc(cc2)[N+](=O)[O-]
LOFSII,-198.5,1.5167,292.8,4799,9.3,O=C1/C(=C/Nc2ccc(cc2)[N+](=O)[O-])/C=CC=C1O
LOFSUV,-61,1.4927,279.8,5022,10.1,CCN1C(=O)/C(=N\Nc2ccccc2[N+](=O)[O-])/C(=C(C1=O)C#N)C
LOHGOE,-189.2,1.5223,267.4,4124,6.9,[O-][N+](=O)c1ccc2c3c1cccc3c(=O)n(c2=O)c1ccccc1
LOJBAN,-62.8,1.2691,313.2,4592,7.5,CCCNc1ccc(cc1)[N+](=O)[O-]
LOJBER,-92.8,1.215,313.6,4319,6.4,CCCCNc1ccc(cc1)[N+](=O)[O-]
LOJBIV,-122.5,1.2181,313.6,4172,6,CCCCCNc1ccc(cc1)[N+](=O)[O-]
LOJKAX,129.7,1.3692,268.8,4875,9,N#Cc1cccc(c1C)[N+](=O)[O-]
LOLFAT,-37.1,1.7608,139.6,8544,32.6,[O-][N+](=O)OC1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
LOLFEX,-135.9,1.6566,168.1,7684,25.4,OC1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
LOLGAV01,341.4,1.3831,257.9,4623,8.1,[O-][N+](=O)c1ccccc1n1nnc(c1)c1ccccc1
LOLGUP,318.8,1.4261,287.5,4683,8.5,[O-][N+](=O)c1cccc(c1)n1nnc(c1)c1ccccc1
LOLHOK,321.4,1.4839,291,4810,9.2,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)c1ccccc1
LOLJAX02,-222.8,1.7492,171.3,7829,27.2,O=C(C(=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
LONSAK,-487.8,1.5052,283.7,4878,9.6,O=C1CCC(=O)N1C(=O)c1ccc(cc1)[N+](=O)[O-]
LORJAD,-537.4,1.4926,285.4,5796,13.5,CCOC(=O)/C(=C/N/N=C\1/N(C)C(=O)N(C(=O)/C1=N\O)C)/[N+](=O)[O-]
LORNAI,100.1,1.3479,270,4770,8.5,N#CCc1cccc(c1C)[N+](=O)[O-]
LOZZEH,-273.8,1.4617,169,5044,10.1,CN([N+](=O)[O-])CN1C(=O)c2c(C1=O)cccc2
LOZZIL,11.7,1.5623,177.1,8058,26.9,[O-][N+](=O)NCN([N+](=O)[O-])C
LUDFAR,-59.9,1.5067,274.6,6087,15,O=C/C=C/O/C=C/c1noc(c1)[N+](=O)[O-]
LUDGAS,-82.3,1.3576,291.4,4297,6.9,CN(c1ccc(cc1)C(=O)c1ccc(cc1)[N+](=O)[O-])C
LUFXIV,81.2,1.2974,292.2,4509,7.4,CCCCCCc1nnn(c1)c1ccc(cc1)[N+](=O)[O-]
LUHPAF,-138.1,1.6742,158.2,7175,22.3,[O-][N+](=O)N1CCNC1=O
LULYEW,-45.2,1.3953,313.4,4439,7.5,O=C1C=CC(=C/C/1=C/NCc1ccccc1)[N+](=O)[O-]
LUTXAB,-162.4,1.4958,328.8,4958,9.9,CNC1=C(C=C2[C@@H](N1C)Oc1c(C2=O)cccc1)[N+](=O)[O-]
MABPAJ,-73.1,1.4462,288,4484,7.9,O=C1N[C@@H](Nc2c1cccc2)c1ccc(cc1)[N+](=O)[O-]
MABZNA02,142.5,1.3275,303.5,4333,6.9,CN(c1ccc(cc1)/C=N/c1ccc(cc1)[N+](=O)[O-])C
MACINA10,-301,1.39,256.7,4883,9.1,OC(=O)/C=C/c1ccc(c(c1)[N+](=O)[O-])N(C)C
MADKOT,-198.5,1.404,225,5167,10.3,O[C@@H]([C@H]([N+](=O)[O-])C)c1ccncc1
MADKUZ,-240.8,1.3505,213.4,4880,8.9,O[C@H](C([N+](=O)[O-])(C)C)c1ccncc1
MAJTIB,-294.7,1.7161,279.7,5572,13.6,O=C1NC(=O)c2c1cc(cc2)[N+](=O)[O-]
MAMGEM,143.3,1.3505,225.3,4715,8.3,[O-][N+](=O)C(=C(c1ccccc1)c1ccccc1)[N+](=O)[O-]
MANXUW,-405.1,1.3282,310.5,4651,8,[O-][N+](=O)c1cc2O[C@@H](CNc2cc1)OCCCC
MAPFOZ,-199.2,1.4227,296.7,4617,8.3,COc1ccc(c(c1)/C=N/c1ccc(cc1)[N+](=O)[O-])O
MAPFUF,-237.3,1.3909,296.9,4495,7.7,CCOc1cccc(c1O)/C=N/c1ccc(cc1)[N+](=O)[O-]
MAPPUQ,-776.2,1.682,285,6637,19.1,CC(=O)O[C@H]1NC(=C([N+](=O)[O-])[N+](=O)[O-])N[C@@H]1OC(=O)C
MATCUF,-316.6,1.4945,289.8,5049,10.2,O=c1nc(N(c2ccc(cc2)[N+](=O)[O-])C)n(c(=O)n1C)C
MATDEQ,-322.8,1.4725,302.2,4988,9.9,O=c1n(C)c(=Nc2ccc(cc2)[N+](=O)[O-])n(c(=O)n1C)C
MAYKAB,-478.8,1.2846,2067508.6,4877,8.6,C#CCN1[C@@H](C[N+](=O)[O-])[C@H]2[C@@H]([C@H]1[C@@H](O)C)OC(O2)(C)C
MAYKEF,-724.2,1.3032,220.3,4589,7.7,O[C@@H]1CN2C[C@@H]([C@@H]([C@H]2[C@H]2[C@@H]1OC(O2)(C)C)[N+](=O)[O-])C
MAYKIJ,-555.3,1.4147,266.2,5096,10,O[C@@H]1CN2C[C@H]3[C@@]([C@H]2[C@H]2[C@@H]1OC(O2)(C)C)(C3)[N+](=O)[O-]
MAYKOP,-727.3,1.2795,218.7,4529,7.4,O[C@@H]1CN2C[C@H]([C@H]([C@@H]2[C@@H]2[C@H]1OC(O2)(C)C)[N+](=O)[O-])C
MAYKUV,-587,1.3057,276.4,4734,8.2,C[C@@H]([C@@H]1[C@H]2OC(O[C@H]2[C@H]2N1C[C@H]1[C@@]2(C1)[N+](=O)[O-])(C)C)O
MAZXEQ,-273.8,1.5876,283.9,4917,10.1,O=C1[C@H]2C[C@@H](c3c1cc(cc3)[N+](=O)[O-])C(=O)c1c2ccc(c1)[N+](=O)[O-]
MAZZOD,-612.9,1.4407,290.6,4802,9,O=C(Nc1cccc(c1)[N+](=O)[O-])CCC(=O)O
MEDNEQ,-106.8,1.8122,262.1,6873,21.4,[O-][N+](=O)c1cc2n3c(n[nH]c3=O)COc2c(c1)[N+](=O)[O-]
MEDNIU,-481.7,1.6207,261.1,5887,14.7,[O-][N+](=O)c1cc2n3c(COc2c(c1)[N+](=O)[O-])nn(c3=O)/C(=C(/O)\C)/C(=O)C
MEGMIV,-541,1.3935,295.3,4723,8.5,O[C@H]1CCN(C1)/C(=N/C(=O)OCc1ccc(cc1)[N+](=O)[O-])/C
MEKRAV,-370.1,1.396,290.5,4425,7.5,O=C1NC(=C([C@@H](C1)c1cccc(c1)[N+](=O)[O-])C(=O)C)C
MEMDIS,-279.9,1.5418,294.3,5067,10.5,[O-][N+](=O)c1ccc(cc1)C1=CO[C@@H]2O[C@H]1OC=C2c1ccc(cc1)[N+](=O)[O-]
MENBEN,178.2,1.3212,270.3,4248,6.6,[O-][N+](=O)c1ccccc1/C=N/c1ccccc1
MENFXN,180.2,1.6593,262.4,8151,28.6,[O-][N+](=O)C1=C(C)[N+](=O)O[N-]1
MENOIM,22.1,1.5194,308.1,6241,15.8,[O-][N+](=O)c1c[nH]c(n1)C
MENPND10,-523,1.5521,278.9,6084,15.2,COC(=O)C(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)OC
MENPPO,-389.2,1.4037,272.2,4570,8,O=C1C[C@@H](C(=O)N1C)c1ccccc1[N+](=O)[O-]
MEPFOD,-203.6,1.239,315.8,4436,6.9,CCN(CCN/C=C\1/C=C(C=CC1=O)[N+](=O)[O-])CC
MEPQAA,332.4,1.4521,301.6,5340,11.2,[O-][N+](=O)c1ccc(c2c1non2)NCCc1ccccn1
MEQVIO,-150,1.2476,305.8,4081,5.9,CCc1ccc(nc1)CCOc1ccc(cc1)[N+](=O)[O-]
MERMEE,1343.2,1.7741,236.2,7821,27.4,N#[N+][N-]C1=C([N+](=O)[O-])/C(=N/[N+]#N)/C(=[N+]\2/N=CN=C2)/C(=C1[N+](=O)[O-])[N-][N+]#N
MERMOO,434.8,1.6642,270.9,6532,18.4,[O-][N+](=O)c1c(n2cncn2)c(n2cncn2)c(c(c1N)[N+](=O)[O-])N
MERVEN,188.1,1.669,317.9,6640,19,[O-][N+](=O)c1c(N)c(n2cncn2)c(c(c1N)[N+](=O)[O-])N
METNAM01,-25.3,1.3634,178.3,7022,18.6,CN([N+](=O)[O-])C
