ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
IFUVIP,-265.5,1.341,303.9,4475,7.4,Nc1ccc(cc1)OCCCOc1ccc(cc1)[N+](=O)[O-]
IGACAV,-139,1.3794,289.4,4614,8.1,COc1cc(/N=C/c2cccc(c2)[N+](=O)[O-])ccc1OC
IGAGON,-31.2,1.5121,96.2,6360,16.4,[O-][N+](=O)c1cc(ccc1/N=N/C([N+](=O)[O-])(C)C)[N+](=O)[O-]
IHOGER,-263.9,1.2719,284.7,3965,5.6,C[C@@H]([C@@H](c1ccccc1)CC#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
IJESUL01,126.5,1.2704,245.7,5265,9.9,N#C/C(=C(\N(C)C)/N=C(/N(C)C)\C)/[N+](=O)[O-]
IJIVEC,139.3,1.6078,86.6,6798,19.5,[O-][N+](=O)/N=c/1\ccccn1O
IJIVIG,167.6,1.613,128.8,6869,19.9,[O-][N+](=O)Nc1ccc[n+](c1)[O-]
IJUKEE,-293.9,1.4852,320.1,4890,9.6,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUKII,-294.8,1.4809,321.1,4879,9.5,O=C(c1ccccc1O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUSIQ,-426.4,1.485,282.4,5265,11.1,OC(COc1ccccc1[N+](=O)[O-])COc1ccccc1[N+](=O)[O-]
IKABUS,-82.1,1.4999,307.1,4562,8.4,[O-][N+](=O)c1ccc(c(c1)c1nc2c([nH]1)cccc2)O
IKACIH,-715.3,1.4486,294.6,4692,8.7,O=C1OC(C)(C)OC(=O)C1=CNc1ccc(cc1)[N+](=O)[O-]
IKIMIY,241.9,1.7223,115.1,8121,29,CN(c1nc(N([N+](=O)[O-])C)c(nc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
IMISAY,201.2,1.6296,174.2,8214,28.7,[O-][N+](=O)N(CN([N+](=O)[O-])CO[N-][N+](=O)C)CN([N+](=O)[O-])CO[N-][N+](=O)C
IMIVOP,200.5,1.7138,210.4,7406,24.1,[O-][N+](=O)/N=C(/n1nc(nc1N)N)\N
IMIWOQ,-60.1,1.6504,205.3,7496,24.1,NC(=O)NN/C(=N/[N+](=O)[O-])/N
IMPYRA,-47.8,1.3608,307.9,4525,7.7,Cc1oc(C)cc(=Nc2ccc(cc2)[N+](=O)[O-])c1
