ID,Formula,Density,OB2,Mass,Volume,Ro(g/cm^3),Area,PosArea,NegArea,Ave,PosAve,NegAve,Sigma2,PosSigma2,NegSigma2,Nu,NuSigma2,Pi,MPI,NonPolarArea,PolarArea,Sphericity,HSub,Dipole
ske_55_13_65,C4N8O8,1.967846536,,287.98391,242.45884,1.9731,243.36428,138.75919,104.60508,5.821,19.12671,-11.82908,167.40053,128.95889,38.44165,0.17690479,29.61396,15.58525,15.98997,77.01,166.36,0.7727,116.0882498,1.734894791
ske_55_13_66,C4H2N8O6,1.936360309,-18.60394955,258.00973,225.98299,1.8966,227.96203,110.81222,117.14981,4.6046,25.69688,-15.34662,373.9171,310.39302,63.52408,0.14102616,52.73209,20.75452,20.37788,60.62,167.34,0.7871,120.5402862,3.023302554
ske_55_13_67,C4H2N8O6,1.959016918,-18.60394955,258.00973,225.62516,1.8996,226.01146,116.4039,109.60756,3.15768,22.65011,-17.5434,357.61639,277.75626,79.86013,0.1734439,62.02638,20.21163,20.17353,56.77,169.24,0.793,123.788517,3.800691144
ske_55_13_68,C4H2N8O6,1.904259603,-18.60394955,258.00973,227.36613,1.8851,227.78614,120.77255,107.01359,4.01408,19.64185,-13.62298,235.439,178.48749,56.95151,0.18338179,43.17523,16.84293,16.81419,69.29,158.5,0.7909,115.6831074,1.662894939
ske_55_14_19,C3N8O6,1.942171503,,243.99408,207.89283,1.9496,212.56291,124.15382,88.4091,5.04793,17.11298,-11.89515,185.86763,149.75663,36.11099,0.15653736,29.09523,14.62897,14.94278,77.53,135.03,0.7984,100.0773714,1.604076878
ske_55_14_7,C3HN7O4,1.910437261,-20.09959349,199.009,175.97346,1.8786,182.64138,83.75087,98.89051,3.31776,25.27142,-15.27491,451.64917,395.25157,56.3976,0.10927776,49.35521,20.26328,19.85885,46.91,135.73,0.8315,98.13075512,2.763813144
ske_55_15_19,C3N8O6,1.969762126,,243.99408,206.14038,1.9662,208.03098,116.69188,91.3391,5.31054,17.94217,-10.82721,217.4029,175.27628,42.12662,0.15622449,33.96366,14.87223,14.81824,82.71,125.33,0.8112,100.9427821,1.444178007
ske_55_15_20,C3H2N8O4,1.87943949,-22.42782096,214.0199,192.32797,1.8485,196.81269,94.24189,102.5708,3.1295,23.42364,-15.51673,333.99111,273.41421,60.57691,0.14847671,49.5899,19.58449,19.30288,52.15,144.67,0.8187,104.2502105,2.860574322
ske_55_15_21,C3H2N8O4,1.886035073,-22.42782096,214.0199,190.63343,1.8649,193.09964,106.54164,86.558,4.69615,18.11265,-11.81782,195.82121,127.24707,68.57414,0.22755622,44.56033,15.2115,15.29096,75.62,117.48,0.8295,100.1034676,1.360491737
ske_55_15_7,C3HN7O4,1.899461369,-20.09959349,199.009,175.634,1.8823,181.82157,91.46764,90.35394,4.41092,22.1543,-13.55116,330.42813,280.64126,49.78687,0.12797122,42.28529,18.1874,17.87908,55.65,126.17,0.8342,94.19075593,2.078903628
